variable,areaName,Borough,areaType,value
2010-02-01,Midtown West,Manhattan,neighborhood,491
2010-02-01,Midwood,Brooklyn,neighborhood,47
2010-02-01,Mill Basin,Brooklyn,neighborhood,23
2010-02-01,Morningside Heights,Manhattan,neighborhood,60
2010-02-01,Morris Heights,Bronx,neighborhood,0
2010-02-01,Morris Park,Bronx,neighborhood,20
2010-02-01,Morrisania,Bronx,neighborhood,3
2010-02-01,Mott Haven,Bronx,neighborhood,6
2010-02-01,NYC,,city,15184
2010-02-01,New Hyde Park,Queens,neighborhood,1
2010-02-01,Nolita,Manhattan,neighborhood,35
2010-02-01,North Brooklyn,Brooklyn,submarket,574
2010-02-01,North Corona,Queens,neighborhood,7
2010-02-01,Northeast Queens,Queens,submarket,292
2010-02-01,Northwest Brooklyn,Brooklyn,submarket,1052
2010-02-01,Northwest Queens,Queens,submarket,331
2010-02-01,Norwood,Bronx,neighborhood,1
2010-02-01,Oakland Gardens,Queens,neighborhood,13
2010-02-01,Ocean Parkway,Brooklyn,neighborhood,0
2010-02-01,Old Mill Basin,Brooklyn,neighborhood,1
2010-02-01,Ozone Park,Queens,neighborhood,2
2010-02-01,Park Slope,Brooklyn,neighborhood,339
2010-02-01,Parkchester,Bronx,neighborhood,23
2010-02-01,Pelham Bay,Bronx,neighborhood,1
2010-02-01,Pelham Gardens,Bronx,neighborhood,2
2010-02-01,Pelham Parkway,Bronx,neighborhood,0
2010-02-01,Pomonok,Queens,neighborhood,3
2010-02-01,Port Morris,Bronx,neighborhood,0
2010-02-01,Prospect Heights,Brooklyn,neighborhood,119
2010-02-01,Prospect Lefferts Gardens,Brooklyn,neighborhood,28
2010-02-01,Prospect Park,Brooklyn,submarket,537
2010-02-01,Prospect Park South,Brooklyn,neighborhood,8
2010-02-01,Queens,Queens,borough,933
2010-02-01,Queens Village,Queens,neighborhood,1
2010-02-01,Red Hook,Brooklyn,neighborhood,17
2010-02-01,Rego Park,Queens,neighborhood,16
2010-02-01,Richmond Hill,Queens,neighborhood,0
2010-02-01,Ridgewood,Queens,neighborhood,16
2010-02-01,Riverdale,Bronx,neighborhood,418
2010-02-01,Rockaway All,Queens,neighborhood,34
2010-02-01,Roosevelt Island,Manhattan,neighborhood,42
2010-02-01,Rosedale,Queens,neighborhood,0
2010-02-01,Schuylerville,Bronx,neighborhood,1
2010-02-01,Seagate,Brooklyn,neighborhood,2
2010-02-01,Sheepshead Bay,Brooklyn,neighborhood,83
2010-02-01,Soho,Manhattan,neighborhood,186
2010-02-01,Soundview,Bronx,neighborhood,7
2010-02-01,South Brooklyn,Brooklyn,submarket,689
