variable,areaName,Borough,areaType,value
2010-02-01,Manhattan Beach,Brooklyn,neighborhood,
2010-02-01,Marble Hill,Manhattan,neighborhood,
2010-02-01,Marine Park,Brooklyn,neighborhood,
2010-02-01,Maspeth,Queens,neighborhood,
2010-02-01,Melrose,Bronx,neighborhood,
2010-02-01,Middle Village,Queens,neighborhood,
2010-02-01,Midtown,Manhattan,neighborhood,3800.0
2010-02-01,Midtown East,Manhattan,neighborhood,2625.0
2010-02-01,Midtown South,Manhattan,neighborhood,3250.0
2010-02-01,Midtown West,Manhattan,neighborhood,2650.0
2010-02-01,Midwood,Brooklyn,neighborhood,1850.0
2010-02-01,Mill Basin,Brooklyn,neighborhood,
2010-02-01,Morningside Heights,Manhattan,neighborhood,2150.0
2010-02-01,Morris Heights,Bronx,neighborhood,
2010-02-01,Morris Park,Bronx,neighborhood,
2010-02-01,Morrisania,Bronx,neighborhood,
2010-02-01,Mott Haven,Bronx,neighborhood,
2010-02-01,NYC,,city,2600.0
2010-02-01,New Hyde Park,Queens,neighborhood,
2010-02-01,Nolita,Manhattan,neighborhood,2825.0
2010-02-01,North Brooklyn,Brooklyn,submarket,2475.0
2010-02-01,North Corona,Queens,neighborhood,
2010-02-01,Northeast Queens,Queens,submarket,1600.0
2010-02-01,Northwest Brooklyn,Brooklyn,submarket,2300.0
2010-02-01,Northwest Queens,Queens,submarket,1817.0
2010-02-01,Norwood,Bronx,neighborhood,
2010-02-01,Oakland Gardens,Queens,neighborhood,
2010-02-01,Ocean Parkway,Brooklyn,neighborhood,
2010-02-01,Old Mill Basin,Brooklyn,neighborhood,
2010-02-01,Ozone Park,Queens,neighborhood,
2010-02-01,Park Slope,Brooklyn,neighborhood,2150.0
2010-02-01,Parkchester,Bronx,neighborhood,
2010-02-01,Pelham Bay,Bronx,neighborhood,
2010-02-01,Pelham Gardens,Bronx,neighborhood,
2010-02-01,Pelham Parkway,Bronx,neighborhood,
2010-02-01,Pomonok,Queens,neighborhood,
2010-02-01,Port Morris,Bronx,neighborhood,
2010-02-01,Prospect Heights,Brooklyn,neighborhood,2150.0
2010-02-01,Prospect Lefferts Gardens,Brooklyn,neighborhood,
2010-02-01,Prospect Park,Brooklyn,submarket,2100.0
2010-02-01,Prospect Park South,Brooklyn,neighborhood,
2010-02-01,Queens,Queens,borough,1675.0
2010-02-01,Queens Village,Queens,neighborhood,
2010-02-01,Red Hook,Brooklyn,neighborhood,
2010-02-01,Rego Park,Queens,neighborhood,1400.0
2010-02-01,Richmond Hill,Queens,neighborhood,
2010-02-01,Ridgewood,Queens,neighborhood,
2010-02-01,Riverdale,Bronx,neighborhood,1750.0
2010-02-01,Rockaway All,Queens,neighborhood,
2010-02-01,Roosevelt Island,Manhattan,neighborhood,2555.0
2010-02-01,Rosedale,Queens,neighborhood,
2010-02-01,Schuylerville,Bronx,neighborhood,
2010-02-01,Seagate,Brooklyn,neighborhood,
2010-02-01,Sheepshead Bay,Brooklyn,neighborhood,1225.0
2010-02-01,Soho,Manhattan,neighborhood,5288.0
2010-02-01,Soundview,Bronx,neighborhood,
2010-02-01,South Brooklyn,Brooklyn,submarket,1550.0
2010-02-01,South Jamaica,Queens,neighborhood,
2010-02-01,South Ozone Park,Queens,neighborhood,
2010-02-01,South Queens,Queens,submarket,
2010-02-01,South Richmond Hill,Queens,neighborhood,
2010-02-01,Springfield Gardens,Queens,neighborhood,
2010-02-01,St. Albans,Queens,neighborhood,
2010-02-01,Staten Island,Staten Island,borough,
2010-02-01,Stuyvesant Town/PCV,Manhattan,neighborhood,
2010-02-01,Sunnyside,Queens,neighborhood,1475.0
2010-02-01,Sunset Park,Brooklyn,neighborhood,1500.0
2010-02-01,The Rockaways,Queens,submarket,
2010-02-01,Throgs Neck,Bronx,neighborhood,
2010-02-01,Tremont,Bronx,neighborhood,
2010-02-01,Tribeca,Manhattan,neighborhood,6773.0
2010-02-01,University Heights,Bronx,neighborhood,1100.0
2010-02-01,Upper East Side,Manhattan,neighborhood,2450.0
2010-02-01,Upper West Side,Manhattan,neighborhood,2800.0
2010-02-01,Utopia,Queens,neighborhood,
2010-02-01,Van Nest,Bronx,neighborhood,
2010-02-01,Wakefield,Bronx,neighborhood,
2010-02-01,Washington Heights,Manhattan,neighborhood,1545.0
2010-02-01,West Harlem,Manhattan,neighborhood,
2010-02-01,West Village,Manhattan,neighborhood,3395.0
2010-02-01,Westchester Village,Bronx,neighborhood,
2010-02-01,Whitestone,Queens,neighborhood,
2010-02-01,Williamsbridge,Bronx,neighborhood,
2010-02-01,Williamsburg,Brooklyn,neighborhood,2500.0
2010-02-01,Windsor Terrace,Brooklyn,neighborhood,1650.0
2010-02-01,Woodhaven,Queens,neighborhood,
2010-02-01,Woodlawn,Bronx,neighborhood,
2010-02-01,Woodside,Queens,neighborhood,
2010-02-01,Woodstock,Bronx,neighborhood,
2010-03-01,All Downtown,Manhattan,submarket,3025.0
2010-03-01,All Midtown,Manhattan,submarket,2800.0
2010-03-01,All Upper East Side,Manhattan,submarket,2400.0
2010-03-01,All Upper Manhattan,Manhattan,submarket,1795.0
2010-03-01,All Upper West Side,Manhattan,submarket,2750.0
2010-03-01,Astoria,Queens,neighborhood,1620.0
2010-03-01,Auburndale,Queens,neighborhood,
2010-03-01,Bath Beach,Brooklyn,neighborhood,
2010-03-01,Battery Park City,Manhattan,neighborhood,3268.0
2010-03-01,Bay Ridge,Brooklyn,neighborhood,1350.0
2010-03-01,Baychester,Bronx,neighborhood,
2010-03-01,Bayside,Queens,neighborhood,1888.0
2010-03-01,Bedford Park,Bronx,neighborhood,
2010-03-01,Bedford-Stuyvesant,Brooklyn,neighborhood,1600.0
2010-03-01,Bellerose,Queens,neighborhood,
2010-03-01,Belmont,Bronx,neighborhood,
2010-03-01,Bensonhurst,Brooklyn,neighborhood,
2010-03-01,Bergen Beach,Brooklyn,neighborhood,
2010-03-01,Boerum Hill,Brooklyn,neighborhood,2600.0
2010-03-01,Borough Park,Brooklyn,neighborhood,
2010-03-01,Briarwood,Queens,neighborhood,
2010-03-01,Brighton Beach,Brooklyn,neighborhood,
2010-03-01,Bronx,Bronx,borough,1508.0
2010-03-01,Bronxwood,Bronx,neighborhood,
2010-03-01,Brooklyn,Brooklyn,borough,2150.0
2010-03-01,Brooklyn Heights,Brooklyn,neighborhood,2400.0
2010-03-01,Brookville,Queens,neighborhood,
2010-03-01,Brownsville,Brooklyn,neighborhood,
2010-03-01,Bushwick,Brooklyn,neighborhood,1500.0
2010-03-01,Cambria Heights,Queens,neighborhood,
2010-03-01,Canarsie,Brooklyn,neighborhood,
2010-03-01,Carroll Gardens,Brooklyn,neighborhood,2275.0
2010-03-01,Castle Hill,Bronx,neighborhood,
2010-03-01,Central Harlem,Manhattan,neighborhood,1895.0
2010-03-01,Central Park South,Manhattan,neighborhood,5950.0
2010-03-01,Central Queens,Queens,submarket,1500.0
2010-03-01,Chelsea,Manhattan,neighborhood,3245.0
2010-03-01,Chinatown,Manhattan,neighborhood,2550.0
2010-03-01,City Island,Bronx,neighborhood,
2010-03-01,Civic Center,Manhattan,neighborhood,
2010-03-01,Clearview,Queens,neighborhood,
2010-03-01,Clinton Hill,Brooklyn,neighborhood,1975.0
2010-03-01,Co-op City,Bronx,neighborhood,
2010-03-01,Cobble Hill,Brooklyn,neighborhood,2225.0
2010-03-01,College Point,Queens,neighborhood,
2010-03-01,Columbia St Waterfront District,Brooklyn,neighborhood,
2010-03-01,Concourse,Bronx,neighborhood,
2010-03-01,Coney Island,Brooklyn,neighborhood,
2010-03-01,Corona,Queens,neighborhood,1095.0
2010-03-01,Country Club,Bronx,neighborhood,
2010-03-01,Crotona Park East,Bronx,neighborhood,
2010-03-01,Crown Heights,Brooklyn,neighborhood,2150.0
2010-03-01,DUMBO,Brooklyn,neighborhood,2800.0
2010-03-01,Ditmas Park,Brooklyn,neighborhood,1850.0
2010-03-01,Douglaston,Queens,neighborhood,
2010-03-01,Downtown Brooklyn,Brooklyn,neighborhood,2191.0
2010-03-01,Dyker Heights,Brooklyn,neighborhood,
2010-03-01,East Brooklyn,Brooklyn,submarket,1650.0
2010-03-01,East Elmhurst,Queens,neighborhood,
2010-03-01,East Flatbush,Brooklyn,neighborhood,2100.0
2010-03-01,East Harlem,Manhattan,neighborhood,1895.0
2010-03-01,East New York,Brooklyn,neighborhood,
2010-03-01,East Tremont,Bronx,neighborhood,
2010-03-01,East Village,Manhattan,neighborhood,2400.0
2010-03-01,Eastchester,Bronx,neighborhood,
2010-03-01,Edenwald,Bronx,neighborhood,
2010-03-01,Elmhurst,Queens,neighborhood,1188.0
2010-03-01,Financial District,Manhattan,neighborhood,3015.0
2010-03-01,Flatbush,Brooklyn,neighborhood,
2010-03-01,Flatiron,Manhattan,neighborhood,3550.0
2010-03-01,Flatlands,Brooklyn,neighborhood,
2010-03-01,Floral Park,Queens,neighborhood,
2010-03-01,Flushing,Queens,neighborhood,1400.0
2010-03-01,Fordham,Bronx,neighborhood,
2010-03-01,Forest Hills,Queens,neighborhood,1700.0
2010-03-01,Fort Greene,Brooklyn,neighborhood,2200.0
2010-03-01,Fresh Meadows,Queens,neighborhood,
2010-03-01,Gerritsen Beach,Brooklyn,neighborhood,
2010-03-01,Glen Oaks,Queens,neighborhood,
2010-03-01,Glendale,Queens,neighborhood,
2010-03-01,Gowanus,Brooklyn,neighborhood,
2010-03-01,Gramercy Park,Manhattan,neighborhood,2995.0
2010-03-01,Gravesend,Brooklyn,neighborhood,1400.0
2010-03-01,Greenpoint,Brooklyn,neighborhood,2350.0
2010-03-01,Greenwich Village,Manhattan,neighborhood,2979.0
2010-03-01,Greenwood,Brooklyn,neighborhood,1700.0
2010-03-01,Hamilton Heights,Manhattan,neighborhood,1688.0
2010-03-01,Highbridge,Bronx,neighborhood,1125.0
2010-03-01,Hillcrest,Queens,neighborhood,
2010-03-01,Hollis,Queens,neighborhood,
2010-03-01,Howard Beach,Queens,neighborhood,
2010-03-01,Hunts Point,Bronx,neighborhood,
2010-03-01,Inwood,Manhattan,neighborhood,1395.0
2010-03-01,Jackson Heights,Queens,neighborhood,1425.0
2010-03-01,Jamaica,Queens,neighborhood,
2010-03-01,Jamaica Estates,Queens,neighborhood,
2010-03-01,Jamaica Hills,Queens,neighborhood,
2010-03-01,Kensington,Brooklyn,neighborhood,1775.0
2010-03-01,Kew Gardens,Queens,neighborhood,1463.0
2010-03-01,Kew Gardens Hills,Queens,neighborhood,
2010-03-01,Kingsbridge,Bronx,neighborhood,1300.0
2010-03-01,Laconia,Bronx,neighborhood,
2010-03-01,Laurelton,Queens,neighborhood,
2010-03-01,Little Italy,Manhattan,neighborhood,3000.0
